"listing_id","sale_price","usable_area","price_per_m2","suburb"
"2482909812","4504000","183","24612,02","Meia Praia"
"2765082718","850000","336","2529,76","Morretes"
"2694369976","790000","68","11617,65","Morretes"
"2749743142","2845125","154","18474,84","Ilhota"
"2560636999","710000","110","6454,55","Morretes"
"2761879923","1590000","114","13947,37","Andorinha"
"2746295942","700000","100","7000","Morretes"
"2763562526","795000","60","13250","Morretes"
"2560637489","880000","70","12571,43","Morretes"
"2723208912","2464079","140","17600,56","Meia Praia"
"2731627817","2090000","128","16328,12","Meia Praia"
"2560637571","580000","74","7837,84","Morretes"
"2760155241","695000","70","9928,57","Centro"
"2760013245","750000","70","10714,29","Morretes"
"2765068428","558000","43","12976,74","Morretes"
"2560059201","2290000","175","13085,71","Centro"
"2612811405","850000","252","3373,02","Morretes"
"2676710410","1350000","125","10800","Andorinha"
"2652670153","677000","68","9955,88","Morretes"
"2743644809","680088","67","10150,57","Varzea"
"2766853714","1299800","117","11109,4","Castelo Branco"
"2655470872","1300000","92","14130,43","Centro"
"2768686916","557957","40","13948,92","Meia Praia"
"2764632334","799000","61","13098,36","Morretes"
"2579474453","1800000","161","11180,12","Meia Praia"
"2726460191","2200000","250","8800","Meia Praia"
"2694370878","515000","66","7803,03","Morretes"
"2744695933","568888","69","8244,75","Alto São Bento"
"2443678881","4900000","198","24747,47","Meia Praia"
"2564695763","776000","70","11085,71","Morretes"
"2694760900","699001","95","7357,91","Morretes"
"2727566346","849000","65","13061,54","Morretes"
"2762331517","5250000","16573","316,78","Sertão do Trombudo"
"2560636955","580000","70","8285,71","Morretes"
"2764633823","670000","691","969,61","Morretes"
"2593921424","574000","70","8200","Varzea"
"2625805824","1220000","101","12079,21","Meia Praia"
"2644395661","2095000","143","14650,35","Castelo Branco"
"2529057186","1292230","118","10951,1","Meia Praia"
"2613409651","8500000","440","19318,18","Casa Branca"
"2560637027","880001","70","12571,44","Morretes"
"2748435813","1115842","86","12974,91","Meia Praia"
"2560637511","620000","74","8378,38","Morretes"
"2748438000","7993000","486","16446,5","Castelo Branco"
"2749321139","529360","55","9624,73","Sertãozinho"
"2591359414","570010","69","8261,01","Jardim Praia Mar"
"2767582002","655000","64","10234,38","Varzea"
"2761366523","720000","110","6545,45","Morretes"
"2762700042","1500000","108","13888,89","Meia Praia"
