"owner_id","qtd_linhas","linhas_identical","snapshot_dates"
"551968522","2","False","2025-01-13 01:56:26.000; 2025-01-13 02:48:07.000"
"20614599","24","False","2025-01-13 01:54:45.000; 2025-01-13 01:56:44.000; 2025-01-13 01:57:51.000; 2025-01-13 02:02:00.000; 2025-01-13 02:04:22.000; 2025-01-13 02:07:47.000; 2025-01-13 02:08:45.000; 2025-01-13 02:11:13.000; 2025-01-13 02:15:17.000; 2025-01-13 02:15:35.000; 2025-01-13 02:15:53.000; 2025-01-13 02:17:48.000; 2025-01-13 02:21:26.000; 2025-01-13 02:27:40.000; 2025-01-13 02:27:52.000; 2025-01-13 02:28:55.000; 2025-01-13 02:33:13.000; 2025-01-13 02:34:35.000; 2025-01-13 02:36:13.000; 2025-01-13 02:36:24.000; 2025-01-13 02:43:40.000; 2025-01-13 02:44:12.000; 2025-01-13 02:48:08.000; 2025-01-13 02:52:46.000"
"383909653","2","False","2025-01-13 02:45:26.000; 2025-01-13 02:48:10.000"
"513008299","4","False","2025-01-13 02:37:22.000; 2025-01-13 02:41:37.000; 2025-01-13 02:43:43.000; 2025-01-13 02:48:10.000"
"63773778","5","False","2025-01-13 02:03:12.000; 2025-01-13 02:05:51.000; 2025-01-13 02:48:16.000; 2025-01-13 02:49:01.000; 2025-01-13 02:50:16.000"
"25087975","17","False","2025-01-13 01:54:32.000; 2025-01-13 02:00:56.000; 2025-01-13 02:02:05.000; 2025-01-13 02:04:54.000; 2025-01-13 02:05:02.000; 2025-01-13 02:11:29.000; 2025-01-13 02:19:56.000; 2025-01-13 02:24:51.000; 2025-01-13 02:26:10.000; 2025-01-13 02:26:42.000; 2025-01-13 02:33:34.000; 2025-01-13 02:36:30.000; 2025-01-13 02:36:40.000; 2025-01-13 02:39:29.000; 2025-01-13 02:48:16.000; 2025-01-13 02:48:43.000; 2025-01-13 02:57:17.000"
"159561676","3","False","2025-01-13 02:31:34.000; 2025-01-13 02:43:55.000; 2025-01-13 02:58:30.000"
"382654895","3","False","2025-01-13 02:16:07.000; 2025-01-13 02:31:34.000; 2025-01-13 02:41:59.000"
"11695736","3","False","2025-01-13 02:16:43.000; 2025-01-13 02:31:35.000; 2025-01-13 02:48:29.000"
"114742068","2","False","2025-01-13 02:31:36.000; 2025-01-13 02:48:17.000"
"306026832","2","False","2025-01-13 02:31:36.000; 2025-01-13 02:35:50.000"
"142707286","2","False","2025-01-13 02:09:37.000; 2025-01-13 02:31:36.000"
"152893116","5","False","2025-01-13 02:00:45.000; 2025-01-13 02:21:57.000; 2025-01-13 02:31:38.000; 2025-01-13 02:41:34.000; 2025-01-13 02:48:39.000"
"10844679","2","False","2025-01-13 02:08:44.000; 2025-01-13 02:31:39.000"
"232597970","2","False","2025-01-13 02:31:40.000; 2025-01-13 02:32:03.000"
"166020592","2","False","2025-01-13 02:28:25.000; 2025-01-13 02:31:43.000"
"157399374","29","False","2025-01-13 02:00:03.000; 2025-01-13 02:00:18.000; 2025-01-13 02:01:03.000; 2025-01-13 02:01:25.000; 2025-01-13 02:01:28.000; 2025-01-13 02:05:14.000; 2025-01-13 02:05:43.000; 2025-01-13 02:09:25.000; 2025-01-13 02:09:40.000; 2025-01-13 02:10:20.000; 2025-01-13 02:19:38.000; 2025-01-13 02:20:58.000; 2025-01-13 02:25:41.000; 2025-01-13 02:26:27.000; 2025-01-13 02:30:56.000; 2025-01-13 02:31:44.000; 2025-01-13 02:32:28.000; 2025-01-13 02:32:40.000; 2025-01-13 02:34:52.000; 2025-01-13 02:37:25.000; 2025-01-13 02:37:40.000; 2025-01-13 02:44:06.000; 2025-01-13 02:45:17.000; 2025-01-13 02:46:23.000; 2025-01-13 02:46:57.000; 2025-01-13 02:47:41.000; 2025-01-13 02:48:47.000; 2025-01-13 02:58:20.000; 2025-01-13 02:58:50.000"
"165888822","2","False","2025-01-13 02:10:45.000; 2025-01-13 02:31:44.000"
